Player Name;Profile URL;Position;Born;College;High School;Draft;Height;Weight;TransactionsRaw;Age;Birth City;Birth State;Birth Country;Transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael Beasley;https://www.basketball-reference.com/players/b/beaslmi01.html;Power Forward and Small Forward ▪ Shoots: Left;January 9 , 1989 (Age: 36-276d) in Cheverly, Maryland us;Kansas State;Notre Dame Prep in Fitchburg, Massachusetts;Miami Heat , 1st round (2nd pick, 2nd overall), 2008 NBA Draft;06.Sep;106.6 kg;June 26, 2008 : Drafted by the Miami Heat in the 1st round (2nd pick) of the 2008 NBA Draft. July 12, 2010 : Traded by the Miami Heat to the Minnesota Timberwolves for cash, a 2011 2nd round draft pick ( Bojan Bogdanović was later selected) and a 2014 2nd round draft pick ( Markel Brown was later selected). July 20, 2012 : Signed as a free agent with the Phoenix Suns . September 3, 2013 : Waived by the Phoenix Suns . September 11, 2013 : Signed as a free agent with the Miami Heat . September 25, 2014 : Signed a contract with the Memphis Grizzlies . October 9, 2014 : Waived by the Memphis Grizzlies . February 26, 2015 : Signed a 10-day contract with the Miami Heat . March 8, 2015 : Signed a 2nd 10-day contract with the Miami Heat . March 18, 2015 : Signed a multi-year contract with the Miami Heat . March 4, 2016 : Signed a multi-year contract with the Houston Rockets . September 22, 2016 : Traded by the Houston Rockets to the Milwaukee Bucks for Tyler Ennis . August 8, 2017 : Signed a contract with the New York Knicks . July 23, 2018 : Signed as a free agent with the Los Angeles Lakers . February 7, 2019 : Traded by the Los Angeles Lakers with Ivica Zubac to the Los Angeles Clippers for Mike Muscala . February 9, 2019 : Waived by the Los Angeles Clippers . July 9, 2020 : Signed a substitution contract with the Brooklyn Nets . (substituting for Taurean Prince;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zelmo Beaty;https://www.basketball-reference.com/players/b/beatyze01.html;Center and Power Forward ▪ Shoots: Right;October 25 , 1939 in Hillister, Texas us;Prairie View A&M University;Woodville in Woodville, Texas;St. Louis Hawks , 1st round (3rd pick, 3rd overall), 1962 NBA Draft;06.Sep;102.1 kg;March 26, 1962 : Drafted by the St. Louis Hawks in the 1st round (3rd pick) of the 1962 NBA Draft. October 7, 1969 : Signed a contract with the Los Angeles Stars . February 2, 1970 : Traded by the Atlanta Hawks to the San Francisco Warriors for Clyde Lee and a 1970 1st round draft pick ( Pete Maravich was later selected). Lee was sent as the player to be named later on October 4, 1974. September 20, 1974 : Waived by the Utah Stars . September 24, 1974 : Traded by the Atlanta Hawks to the Los Angeles Lakers for a 1975 2nd round draft pick ( Gus Williams was later selected). September 25, 1974 : Signed a contract with the Golden State Warriors .;;Hillister;Texas;us;March 26, 1962 : Drafted by the St. Louis Hawks in the 1st round (3rd pick) of the 1962 NBA Draft. October 7, 1969 : Signed a contract with the Los Angeles Stars. February 2, 1970 : Traded by the Atlanta Hawks to the San Francisco Warriors for Clyde Lee and a 1970 1st round draft pick ( Pete Maravich was later selected). Lee was sent as the player to be named later on October 4, 1974. September 20, 1974 : Waived by the Utah Stars. September 24, 1974 : Traded by the Atlanta Hawks to the Los Angeles Lakers for a 1975 2nd round draft pick ( Gus Williams was later selected). September 25, 1974 : Signed a contract with the Golden State Warriors.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rodrigue Beaubois;https://www.basketball-reference.com/players/b/beaubro01.html;Point Guard ▪ Shoots: Right;February 24 , 1988 (Age: 37-230d) in Pointe-a-Pitre, Guadeloupe gp;;;Oklahoma City Thunder , 1st round (25th pick, 25th overall), 2009 NBA Draft;6-0;77.1 kg;February 20, 2008 : Traded by the San Antonio Spurs (as a future 2009 1st round draft pick) with Brent Barry and Francisco Elson to the Seattle SuperSonics for Kurt Thomas . June 25, 2009 : Drafted by the Oklahoma City Thunder in the 1st round (25th pick) of the 2009 NBA Draft. June 25, 2009 : Traded by the Oklahoma City Thunder with a 2010 2nd round draft pick ( Solomon Alabi was later selected) to the Dallas Mavericks for Byron Mullens . November 30, 2010 : Assigned to the Texas Legends of the G-League. January 5, 2011 : Recalled from the Texas Legends of the G-League.;37;Pointe-a-Pitre;Guadeloupe;gp;February 20, 2008 : Traded by the San Antonio Spurs (as a future 2009 1st round draft pick) with Brent Barry and Francisco Elson to the Seattle SuperSonics for Kurt Thomas. June 25, 2009 : Drafted by the Oklahoma City Thunder in the 1st round (25th pick) of the 2009 NBA Draft. June 25, 2009 : Traded by the Oklahoma City Thunder with a 2010 2nd round draft pick ( Solomon Alabi was later selected) to the Dallas Mavericks for Byron Mullens. November 30, 2010 : Assigned to the Texas Legends of the G-League. January 5, 2011 : Recalled from the Texas Legends of the G-League.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MarJon Beauchamp;https://www.basketball-reference.com/players/b/beaucma01.html;Small Forward ▪ Shoots: Right;October 12 , 2000 (Age: 25-000d) in Yakima, Washington us;Yakima Valley Community College;;Milwaukee Bucks , 1st round (24th pick, 24th overall), 2022 NBA Draft;06.Jun;90.3 kg;December 7, 2018 : As part of a 3-team trade, traded by the Milwaukee Bucks (as a future 2022 1st round draft pick) with Matthew Dellavedova , John Henson and a 2021 2nd round draft pick ( Sandro Mamukelashvili was later selected) to the Cleveland Cavaliers ;;;;;; the Washington Wizards traded a 2022 2nd round draft pick ( Bryce McGowens was later selected) to the Cleveland Cavaliers ; and the Washington Wizards traded Jason Smith and cash to the Milwaukee Bucks. 2021 2nd-rd pick is WAS own, protections were removed from previously traded WAS 2020 2nd-rd pick Top-14 protected in 2021, conveyed in 2022 2021 2nd-rd pick is MIL own 2022 2nd-rd pick is WAS own January 16, 2021 : As part of a 4-team trade, traded by the Cleveland Cavaliers (as a future 2022 1st round draft pick) with Dante Exum to the Houston Rockets ; the Brooklyn Nets traded Jarrett Allen and Taurean Prince to the Cleveland Cavaliers ; the Brooklyn Nets traded Rodions Kurucs , a 2021 1st round draft pick, a 2022 1st round draft pick ( Tari Eason was later selected), a 2023 1st round draft pick, a 2024 1st round draft pick ( Reed Sheppard was later selected), a 2025 1st round draft pick, a 2026 1st round draft pick and a 2027 1st round draft pick to the Houston Rockets ; the Brooklyn Nets traded Caris Levert to the Indiana Pacers ; the Cleveland Cavaliers traded cash and a 2024 2nd round draft pick ( Tristen Newton was later selected) to the Indiana Pacers ; the Houston Rockets traded James Harden to the Brooklyn Nets ; the Houston Rockets traded a 2023 2nd round draft pick ( Jalen Pickett was later selected) to the Indiana Pacers ; and the Indiana Pacers traded Victor Oladipo to the Houston Rockets. 2024 2nd-rd pick is CLE own 2021 1st-rd pick was a right to swap, did not convey 2023 1st-rd pick was a right to swap, did not convey 2025 1st-rd pick is a right to swap;" later renegotiated in another trade 2027 1st-rd pick is a right to swap 2022 1st-rd draft pick was MIL own 2023 2nd-rd pick was HOU own March 19, 2021 : Traded by the Houston Rockets (as a future 2022 1st round draft pick) with Rodions Kurucs , P. J. Tucker and a 2021 2nd round draft pick ( Isaiah Todd was later selected) to the Milwaukee Bucks for D. J. Augustin , D. J. Wilson , a 2021 1st round draft pick ( Josh Christopher was later selected) and a 2023 1st round draft pick ( Kobe Brown was later selected). 2021 2nd-rd pick is HOU own Conditional 2022 1st-rd draft pick is MIL own and Milwaukee also receives a trade exception Conditional 2021 1st-rd pick is MIL own 2023 1st-rd pick was MIL own and Houston also receives a trade exception June 23, 2022 : Drafted by the Milwaukee Bucks in the 1st round (24th pick) of the 2022 NBA Draft. July 7, 2022 : Signed a multi-year contract with the Milwaukee Bucks. February 6, 2025 : Traded by the Milwaukee Bucks to the Los Angeles Clippers for Kevin Porter Jr. . Milwaukee also received a trade exception March 1, 2025 : Waived by the Los Angeles Clippers. March 4, 2025 : Signed a two-way contract with the New York Knicks. September 30, 2025 : Signed an Exhibit 10 contract with the Portland Trail Blazers. October 7, 2025 : Waived by the Portland Trail Blazers.""";;;;;;;;;;;;;;;;;;
Byron Beck;https://www.basketball-reference.com/players/b/beckby01.html;Center and Power Forward ▪ Shoots: Right;January 25 , 1945 (Age: 80-260d) in Ellensburg, Washington us;;Kittitas in Ellensburg, Washington;Chicago Bulls , 2nd round (3rd pick, 15th overall), 1967 NBA Draft;06.Sep;102.1 kg;April 2, 1967 : Drafted by the Denver Rockets in the ?? round (?? pick) of the 1967 ABA Draft. May 3, 1967 : Drafted by the Chicago Bulls in the 2nd round (15th pick) of the 1967 NBA Draft. July 15, 1967 : Signed a contract with the Denver Rockets . June 17, 1976 : Moved from the ABA to the NBA with the Denver Nuggets . October 17, 1977 : Waived by the Denver Nuggets .;80;Ellensburg;Washington;us;April 2, 1967 : Drafted by the Denver Rockets in the ?? round (?? pick) of the 1967 ABA Draft. May 3, 1967 : Drafted by the Chicago Bulls in the 2nd round (15th pick) of the 1967 NBA Draft. July 15, 1967 : Signed a contract with the Denver Rockets. June 17, 1976 : Moved from the ABA to the NBA with the Denver Nuggets. October 17, 1977 : Waived by the Denver Nuggets.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corey Beck;https://www.basketball-reference.com/players/b/beckco01.html;Point Guard ▪ Shoots: Right;May 27 , 1971 (Age: 54-138d) in Memphis, Tennessee us;;Fairley in Memphis, Tennessee;;06.J�n;86.2 kg;October 4, 1995 : Signed as a free agent with the Charlotte Hornets . November 2, 1995 : Waived by the Charlotte Hornets . December 23, 1995 : Signed a contract for the rest of the season with the Charlotte Hornets . January 5, 1996 : Waived by the Charlotte Hornets . October 3, 1996 : Signed as a free agent with the Chicago Bulls . October 24, 1996 : Waived by the Chicago Bulls . October 2, 1997 : Signed as a free agent with the Charlotte Hornets . January 21, 1999 : Signed as a free agent with the Vancouver Grizzlies . January 28, 1999 : Waived by the Vancouver Grizzlies . February 18, 1999 : Signed as a free agent with the Detroit Pistons . March 9, 1999 : Waived by the Detroit Pistons . March 17, 1999 : Signed the first of two 10-day contracts with the Charlotte Hornets . April 6, 1999 : Signed a contract for the rest of the season with the Charlotte Hornets .;54;Memphis;Tennessee;us;October 4, 1995 : Signed as a free agent with the Charlotte Hornets. November 2, 1995 : Waived by the Charlotte Hornets. December 23, 1995 : Signed a contract for the rest of the season with the Charlotte Hornets. January 5, 1996 : Waived by the Charlotte Hornets. October 3, 1996 : Signed as a free agent with the Chicago Bulls. October 24, 1996 : Waived by the Chicago Bulls. October 2, 1997 : Signed as a free agent with the Charlotte Hornets. January 21, 1999 : Signed as a free agent with the Vancouver Grizzlies. January 28, 1999 : Waived by the Vancouver Grizzlies. February 18, 1999 : Signed as a free agent with the Detroit Pistons. March 9, 1999 : Waived by the Detroit Pistons. March 17, 1999 : Signed the first of two 10-day contracts with the Charlotte Hornets. April 6, 1999 : Signed a contract for the rest of the season with the Charlotte Hornets.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernie Beck;https://www.basketball-reference.com/players/b/becker01.html;Shooting Guard ▪ Shoots: Right;December 11 , 1931 in Philadelphia, Pennsylvania us;Penn;West Catholic in Philadelphia, Pennsylvania;Philadelphia Warriors , 1st round (1st pick, 1st overall), 1953 NBA Draft (territorial selection);06.Apr;86.2 kg;April 24, 1953 : Drafted by the Philadelphia Warriors in the 1st round (1st pick) of the 1953 NBA Draft. Territorial pick October 17, 1960 : Traded by the Philadelphia Warriors with Woody Sauldsberry to the St. Louis Hawks for Ed Conlin and cash. November 28, 1960 : Player rights sold by the St. Louis Hawks to the Syracuse Nationals .;;Philadelphia;Pennsylvania;us;April 24, 1953 : Drafted by the Philadelphia Warriors in the 1st round (1st pick) of the 1953 NBA Draft. Territorial pick October 17, 1960 : Traded by the Philadelphia Warriors with Woody Sauldsberry to the St. Louis Hawks for Ed Conlin and cash. November 28, 1960 : Player rights sold by the St. Louis Hawks to the Syracuse Nationals.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Art Becker;https://www.basketball-reference.com/players/b/beckear01.html;Power Forward and Small Forward ▪ Shoots: Right;January 12 , 1942 (Age: 83-273d) in Akron, Ohio us;Arizona State;Camelback in Phoenix, Arizona;St. Louis Hawks , 3rd round (6th pick, 24th overall), 1964 NBA Draft;06.Jul;93.0 kg;May 4, 1964 : Drafted by the St. Louis Hawks in the 3rd round (24th pick) of the 1964 NBA Draft. January 1, 1967 : Waived by the Dallas Chaparrals . January 1, 1967 : Signed a contract with the Houston Mavericks . June 10, 1967 : Signed a contract with the Dallas Chaparrals . October, 1967 : Signed a contract with the Houston Mavericks . October 9, 1969 : Traded by the Carolina Cougars with Spider Bennett and Tony Jackson to the Indiana Pacers for George Peeples and Ron Perry . February 1, 1971 : Traded by the Indiana Pacers with John Barnhill to the Denver Rockets for Wayne Chapman and Donald Sidle . August 10, 1972 : Drafted by the San Diego Conquistadors from the Denver Rockets in the ABA expansion draft. September 14, 1972 : Traded by the San Diego Conquistadors to the New York Nets for cash. December 4, 1972 : Traded by the New York Nets to the Dallas Chaparrals for a draft choice and cash.;83;Akron;Ohio;us;May 4, 1964 : Drafted by the St. Louis Hawks in the 3rd round (24th pick) of the 1964 NBA Draft. January 1, 1967 : Waived by the Dallas Chaparrals. January 1, 1967 : Signed a contract with the Houston Mavericks. June 10, 1967 : Signed a contract with the Dallas Chaparrals. October, 1967 : Signed a contract with the Houston Mavericks. October 9, 1969 : Traded by the Carolina Cougars with Spider Bennett and Tony Jackson to the Indiana Pacers for George Peeples and Ron Perry. February 1, 1971 : Traded by the Indiana Pacers with John Barnhill to the Denver Rockets for Wayne Chapman and Donald Sidle. August 10, 1972 : Drafted by the San Diego Conquistadors from the Denver Rockets in the ABA expansion draft. September 14, 1972 : Traded by the San Diego Conquistadors to the New York Nets for cash. December 4, 1972 : Traded by the New York Nets to the Dallas Chaparrals for a draft choice and cash.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moe Becker;https://www.basketball-reference.com/players/b/beckemo01.html;Guard/Forward ▪ Shoots: Right;February 24 , 1917 in Pittsburgh, Pennsylvania us;Duquesne;Fifth Avenue in Pittsburgh, Pennsylvania;;06.J�n;83.9 kg;December 12, 1946 : Traded by the Pittsburgh Ironmen to the Boston Celtics for Tony Kappen .;;Pittsburgh;Pennsylvania;us;December 12, 1946 : Traded by the Pittsburgh Ironmen to the Boston Celtics for Tony Kappen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bob Bedell;https://www.basketball-reference.com/players/b/bedelbo01.html;Power Forward ▪ Shoots: Right;June 26 , 1944 in Los Angeles, California us;Stanford;Bell Gardens in Bell Gardens, California;Philadelphia 76ers , 10th round (6th pick, 90th overall), 1966 NBA Draft;06.Jul;93.0 kg;May 11, 1966 : Drafted by the Philadelphia 76ers in the 10th round (90th pick) of the 1966 NBA Draft. July 13, 1968 : Traded by the Denver Rockets with a draft choice to the Dallas Chaparrals for Bob Verga . September 15, 1971 : Waived by the Dallas Chaparrals .;;Los Angeles;California;us;May 11, 1966 : Drafted by the Philadelphia 76ers in the 10th round (90th pick) of the 1966 NBA Draft. July 13, 1968 : Traded by the Denver Rockets with a draft choice to the Dallas Chaparrals for Bob Verga. September 15, 1971 : Waived by the Dallas Chaparrals.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
William Bedford;https://www.basketball-reference.com/players/b/bedfowi01.html;Center ▪ Shoots: Right;December 14 , 1963 (Age: 61-302d) in Memphis, Tennessee us;Memphis;Melrose in Memphis, Tennessee;Phoenix Suns , 1st round (6th pick, 6th overall), 1986 NBA Draft;7-0;102.1 kg;June 17, 1986 : Drafted by the Phoenix Suns in the 1st round (6th pick) of the 1986 NBA Draft. June 21, 1987 : Traded by the Phoenix Suns to the Detroit Pistons for a 1988 1st round draft pick ( Randolph Keys was later selected). June 24, 1992 : Traded by the Detroit Pistons with Don MacLean to the Los Angeles Clippers for Olden Polynice , a 1996 2nd round draft pick ( Russ Millard was later selected) and a 1997 2nd round draft pick ( Eddie Elisma was later selected). October 8, 1992 : Traded by the Los Angeles Clippers with Don MacLean to the Washington Bullets for John Williams . October 12, 1992 : Waived by the Washington Bullets . October 26, 1992 : Signed as a free agent with the San Antonio Spurs . January 4, 1993 : Waived by the San Antonio Spurs .;61;Memphis;Tennessee;us;June 17, 1986 : Drafted by the Phoenix Suns in the 1st round (6th pick) of the 1986 NBA Draft. June 21, 1987 : Traded by the Phoenix Suns to the Detroit Pistons for a 1988 1st round draft pick ( Randolph Keys was later selected). June 24, 1992 : Traded by the Detroit Pistons with Don MacLean to the Los Angeles Clippers for Olden Polynice , a 1996 2nd round draft pick ( Russ Millard was later selected) and a 1997 2nd round draft pick ( Eddie Elisma was later selected). October 8, 1992 : Traded by the Los Angeles Clippers with Don MacLean to the Washington Bullets for John Williams. October 12, 1992 : Waived by the Washington Bullets. October 26, 1992 : Signed as a free agent with the San Antonio Spurs. January 4, 1993 : Waived by the San Antonio Spurs.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reece Beekman;https://www.basketball-reference.com/players/b/beekmre01.html;Point Guard ▪ Shoots: Right;October 8 , 2001 (Age: 24-004d) in Milwaukee, Wisconsin us;Virginia;Scotlandville Magnet in Baton Rouge, Louisiana;;06.J�n;86.2 kg;July 3, 2024 : Signed a two-way contract with the Golden State Warriors . December 15, 2024 : Traded by the Golden State Warriors with De'Anthony Melton , a 2026 2nd round draft pick, a 2028 2nd round draft pick and a 2029 2nd round draft pick to the Brooklyn Nets for Dennis Schroder and a 2025 2nd round draft pick ( Koby Brea was later selected). conditional 2025 2nd-rd pick is MIA own Brooklyn also received a trade exception 2026 2nd-rd pick is ATL own 2028 2nd-rd pick is ATL own 2029 2nd-rd pick is GSW own September 2, 2025 : Signed an Exhibit 10 contract with the Orlando Magic .;24;Milwaukee;Wisconsin;us;July 3, 2024 : Signed a two-way contract with the Golden State Warriors. December 15, 2024 : Traded by the Golden State Warriors with De'Anthony Melton , a 2026 2nd round draft pick, a 2028 2nd round draft pick and a 2029 2nd round draft pick to the Brooklyn Nets for Dennis Schroder and a 2025 2nd round draft pick ( Koby Brea was later selected). conditional 2025 2nd-rd pick is MIA own Brooklyn also received a trade exception 2026 2nd-rd pick is ATL own 2028 2nd-rd pick is ATL own 2029 2nd-rd pick is GSW own September 2, 2025 : Signed an Exhibit 10 contract with the Orlando Magic.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hank Beenders;https://www.basketball-reference.com/players/b/beendha01.html;Center/Forward ▪ Shoots: Right;June 2 , 1916 in Haarlem, Netherlands nl;Long Island University;North Plainfield in North Plainfield, New Jersey;;06.Jun;83.9 kg;January 15, 1948 : Player rights sold by the Providence Steam Rollers to the Philadelphia Warriors . May 1, 1948 : Traded by the Philadelphia Warriors with Chick Halbert to the Boston Celtics for Ed Sadowski .;;Haarlem;Netherlands;nl;January 15, 1948 : Player rights sold by the Providence Steam Rollers to the Philadelphia Warriors. May 1, 1948 : Traded by the Philadelphia Warriors with Chick Halbert to the Boston Celtics for Ed Sadowski.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ron Behagen;https://www.basketball-reference.com/players/b/behagro01.html;Power Forward ▪ Shoots: Right;January 14 , 1951 (Age: 74-271d) in New York, New York us;Minnesota;DeWitt Clinton in Bronx, New York;Kansas City-Omaha Kings , 1st round (7th pick, 7th overall), 1973 NBA Draft;06.Sep;83.9 kg;April 24, 1973 : Drafted by the Kansas City-Omaha Kings in the 1st round (7th pick) of the 1973 NBA Draft. May 28, 1975 : Traded by the Kansas City-Omaha Kings with a 1976 2nd round draft pick ( Major Jones was later selected) to the New Orleans Jazz for a 1975 1st round draft pick ( Bill Robinzine was later selected). August 5, 1977 : Sent to the Atlanta Hawks with cash as compensation for the New Orleans Jazz signing Truck Robinson as a veteran free agent. December 16, 1977 : Traded by the Atlanta Hawks to the Houston Rockets for a 1978 2nd round draft pick ( Rick Wilson was later selected) and a 1979 2nd round draft pick ( Larry Wilson was later selected). December 22, 1977 : Traded by the Houston Rockets to the Indiana Pacers for Alonzo Bradley . September 11, 1978 : Waived by the Indiana Pacers . October 13, 1978 : Signed as a free agent with the Detroit Pistons . October 20, 1978 : Waived by the Detroit Pistons . February 20, 1979 : Signed as a free agent with the New York Knicks . March 2, 1979 : Waived by the New York Knicks . March 9, 1979 : Signed a 10-day contract with the Kansas City Kings . March 29, 1979 : Waived by the Kansas City Kings . March 22, 1980 : Signed as a free agent with the Washington Bullets .;74;New York;New York;us;April 24, 1973 : Drafted by the Kansas City-Omaha Kings in the 1st round (7th pick) of the 1973 NBA Draft. May 28, 1975 : Traded by the Kansas City-Omaha Kings with a 1976 2nd round draft pick ( Major Jones was later selected) to the New Orleans Jazz for a 1975 1st round draft pick ( Bill Robinzine was later selected). August 5, 1977 : Sent to the Atlanta Hawks with cash as compensation for the New Orleans Jazz signing Truck Robinson as a veteran free agent. December 16, 1977 : Traded by the Atlanta Hawks to the Houston Rockets for a 1978 2nd round draft pick ( Rick Wilson was later selected) and a 1979 2nd round draft pick ( Larry Wilson was later selected). December 22, 1977 : Traded by the Houston Rockets to the Indiana Pacers for Alonzo Bradley. September 11, 1978 : Waived by the Indiana Pacers. October 13, 1978 : Signed as a free agent with the Detroit Pistons. October 20, 1978 : Waived by the Detroit Pistons. February 20, 1979 : Signed as a free agent with the New York Knicks. March 2, 1979 : Waived by the New York Knicks. March 9, 1979 : Signed a 10-day contract with the Kansas City Kings. March 29, 1979 : Waived by the Kansas City Kings. March 22, 1980 : Signed as a free agent with the Washington Bullets.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elmer Behnke;https://www.basketball-reference.com/players/b/behnkel01.html;Center ▪ Shoots: Right;February 3 , 1929 in Elgin, Illinois us;Bradley;Marengo in Marengo, Illinois;Rochester Royals , 4th round (8th pick, 38th overall), 1951 NBA Draft;06.Jul;95.3 kg;April 25, 1951 : Drafted by the Rochester Royals in the 4th round (38th pick) of the 1951 NBA Draft.;;Elgin;Illinois;us;April 25, 1951 : Drafted by the Rochester Royals in the 4th round (38th pick) of the 1951 NBA Draft.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marco Belinelli;https://www.basketball-reference.com/players/b/belinma01.html;Shooting Guard and Small Forward ▪ Shoots: Right;March 25 , 1986 (Age: 39-201d) in San Giovanni in Persiceto, Italy it;;;Golden State Warriors , 1st round (18th pick, 18th overall), 2007 NBA Draft;06.Mai;99.8 kg;June 28, 2007 : Drafted by the Golden State Warriors in the 1st round (18th pick) of the 2007 NBA Draft. July 29, 2009 : Traded by the Golden State Warriors to the Toronto Raptors for Devean George and cash. August 11, 2010 : Traded by the Toronto Raptors to the New Orleans Hornets for Julian Wright . July 24, 2012 : Signed as a free agent with the Chicago Bulls . July 11, 2013 : Signed as a free agent with the San Antonio Spurs . July 13, 2015 : Signed a multi-year contract with the Sacramento Kings . July 7, 2016 : Traded by the Sacramento Kings to the Charlotte Hornets for Malachi Richardson . June 20, 2017 : Traded by the Charlotte Hornets with Miles Plumlee and a 2017 2nd round draft pick ( Tyler Dorsey was later selected) to the Atlanta Hawks for Dwight Howard and a 2017 2nd round draft pick ( Frank Jackson was later selected). February 9, 2018 : Waived by the Atlanta Hawks . February 12, 2018 : Signed a contract for the rest of the season with the Philadelphia 76ers . July 20, 2018 : Signed as a free agent with the San Antonio Spurs .;39;San Giovanni in Persiceto;Italy;it;June 28, 2007 : Drafted by the Golden State Warriors in the 1st round (18th pick) of the 2007 NBA Draft. July 29, 2009 : Traded by the Golden State Warriors to the Toronto Raptors for Devean George and cash. August 11, 2010 : Traded by the Toronto Raptors to the New Orleans Hornets for Julian Wright. July 24, 2012 : Signed as a free agent with the Chicago Bulls. July 11, 2013 : Signed as a free agent with the San Antonio Spurs. July 13, 2015 : Signed a multi-year contract with the Sacramento Kings. July 7, 2016 : Traded by the Sacramento Kings to the Charlotte Hornets for Malachi Richardson. June 20, 2017 : Traded by the Charlotte Hornets with Miles Plumlee and a 2017 2nd round draft pick ( Tyler Dorsey was later selected) to the Atlanta Hawks for Dwight Howard and a 2017 2nd round draft pick ( Frank Jackson was later selected). February 9, 2018 : Waived by the Atlanta Hawks. February 12, 2018 : Signed a contract for the rest of the season with the Philadelphia 76ers. July 20, 2018 : Signed as a free agent with the San Antonio Spurs.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charlie Bell;https://www.basketball-reference.com/players/b/bellch01.html;Shooting Guard ▪ Shoots: Right;March 12 , 1979 (Age: 46-214d) in Flint, Michigan us;Michigan State;Flint Southwestern Academy in Flint, Michigan;;06.M�r;90.7 kg;August 1, 2001 : Signed as a free agent with the Phoenix Suns . December 11, 2001 : Waived by the Phoenix Suns . January 13, 2002 : Signed a 10-day contract with the Dallas Mavericks , then signed a contract for the rest of the season. August 18, 2005 : Signed as a free agent with the Milwaukee Bucks . June 22, 2010 : Traded by the Milwaukee Bucks with Dan Gadzuric to the Golden State Warriors for Corey Maggette and a 2010 2nd round draft pick ( Jerome Jordan was later selected). December 11, 2011 : Waived by the Golden State Warriors .;46;Flint;Michigan;us;August 1, 2001 : Signed as a free agent with the Phoenix Suns. December 11, 2001 : Waived by the Phoenix Suns. January 13, 2002 : Signed a 10-day contract with the Dallas Mavericks , then signed a contract for the rest of the season. August 18, 2005 : Signed as a free agent with the Milwaukee Bucks. June 22, 2010 : Traded by the Milwaukee Bucks with Dan Gadzuric to the Golden State Warriors for Corey Maggette and a 2010 2nd round draft pick ( Jerome Jordan was later selected). December 11, 2011 : Waived by the Golden State Warriors.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dennis Bell;https://www.basketball-reference.com/players/b/bellde01.html;Small Forward ▪ Shoots: Right;June 2 , 1951 (Age: 74-132d) in Cincinnati, Ohio us;Drake University;Wyoming in Wyoming, Ohio;New York Knicks , 5th round (14th pick, 83rd overall), 1973 NBA Draft;06.Mai;83.9 kg;April 24, 1973 : Drafted by the New York Knicks in the 5th round (83rd pick) of the 1973 NBA Draft. November 26, 1975 : Waived by the New York Knicks .;74;Cincinnati;Ohio;us;April 24, 1973 : Drafted by the New York Knicks in the 5th round (83rd pick) of the 1973 NBA Draft. November 26, 1975 : Waived by the New York Knicks.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
